employee_id,name,age,gender,department,job_role,job_level,performance_rating,job_satisfaction,job_involvement,environment_satisfaction,monthly_income,percent_salary_hike,stock_option_level,years_at_company,years_in_current_role,total_working_years,distance_from_home,business_travel,over_time,attrition,company_health_score
EMP_00001,Robert Walker,34,Male,Operations,Operations Analyst,3,3,3,3,3,11120,18,2,2,0,11,23,Travel_Rarely,No,No,70.9
EMP_00002,Steven Moore,30,Female,Finance,Controller,2,4,2,3,3,8475,22,1,5,1,6,11,Travel_Rarely,Yes,No,59.5
EMP_00003,Lisa Wright,41,Male,Operations,Operations Manager,2,4,4,4,4,10158,21,0,6,1,8,14,Travel_Rarely,No,No,73.7
EMP_00004,Robert Ramirez,47,Male,IT,System Administrator,1,4,4,4,4,6260,20,1,0,0,2,15,Travel_Rarely,No,No,89.4
EMP_00005,David Brown,31,Female,Legal,Legal Counsel,1,4,2,3,2,5757,24,0,0,0,1,26,Travel_Rarely,Yes,Yes,33.8
EMP_00006,Anthony Flores,51,Female,Research & Development,Product Developer,2,3,2,3,2,9066,18,1,6,6,7,16,Travel_Frequently,No,No,57.8
EMP_00007,Andrew Walker,46,Female,Marketing,Marketing Specialist,3,4,2,3,3,10336,19,1,3,0,10,17,Travel_Rarely,Yes,No,90.4
EMP_00008,Emily Young,28,Female,Legal,Paralegal,2,3,3,3,2,7091,16,1,0,0,6,17,Travel_Rarely,No,No,75.8
EMP_00009,Betty Garcia,57,Female,Customer Service,Support Specialist,2,4,3,3,2,8677,21,1,3,3,4,4,Travel_Frequently,No,No,53.5
EMP_00010,Dorothy Jackson,23,Female,Sales,Business Development,1,4,2,3,2,6118,20,0,1,1,1,21,Travel_Frequently,No,Yes,47.8
EMP_00011,Betty Anderson,46,Female,Legal,Paralegal,2,4,4,4,4,9387,20,1,5,5,8,27,Travel_Rarely,No,No,53.7
EMP_00012,Elizabeth Nguyen,38,Female,Human Resources,HR Manager,1,4,2,3,2,6213,21,0,0,0,0,4,Travel_Rarely,Yes,Yes,29.6
EMP_00013,Michelle Sanchez,46,Male,Research & Development,Research Scientist,3,4,3,3,3,13406,20,1,15,5,15,3,Travel_Rarely,No,No,66.4
EMP_00014,Christopher Allen,51,Female,Research & Development,Lab Technician,4,4,3,3,3,12809,20,2,2,1,21,15,Travel_Rarely,No,No,27.6
EMP_00015,Margaret Moore,48,Female,Human Resources,HR Manager,5,4,3,3,3,16947,18,3,17,14,25,23,Travel_Rarely,No,No,31.0
EMP_00016,Daniel Martinez,46,Male,Customer Service,Service Representative,3,4,4,4,4,11107,20,1,8,0,12,3,Non-Travel,No,No,51.9
EMP_00017,Robert Thompson,53,Female,Human Resources,Training Coordinator,3,3,1,3,2,11500,17,1,10,0,10,22,Travel_Rarely,Yes,Yes,19.8
EMP_00018,Brian Williams,48,Female,Human Resources,Recruiter,4,4,4,3,4,14944,18,2,12,2,23,7,Travel_Rarely,No,No,67.7
EMP_00019,Kevin King,52,Male,Operations,Process Engineer,1,4,3,3,3,7622,21,0,6,6,7,6,Travel_Frequently,No,No,45.7
EMP_00020,Susan Sanchez,37,Male,Sales,Business Development,2,3,2,2,2,8450,16,1,1,0,10,6,Travel_Rarely,Yes,Yes,12.6
EMP_00021,William Walker,29,Male,Finance,Controller,1,4,3,3,3,6429,22,0,0,0,7,16,Non-Travel,No,No,88.4
EMP_00022,Emily Anderson,30,Male,Operations,Process Engineer,2,4,3,3,3,7808,23,1,0,0,0,18,Travel_Rarely,No,No,57.9
EMP_00023,Patricia Hill,45,Male,Engineering,Engineering Manager,3,4,3,3,3,13277,18,2,16,13,22,14,Travel_Rarely,No,No,63.2
EMP_00024,Daniel Scott,42,Male,Human Resources,HR Specialist,2,4,3,2,3,8114,21,1,0,0,4,18,Travel_Rarely,Yes,No,36.4
EMP_00025,Kimberly Young,24,Male,Research & Development,Research Scientist,1,4,3,4,3,6191,21,0,1,1,1,24,Non-Travel,No,No,52.2
EMP_00026,Donna Davis,29,Male,Engineering,Mechanical Engineer,1,2,1,2,1,5300,14,0,0,0,2,25,Travel_Frequently,Yes,Yes,40.0
EMP_00027,Charles Jackson,58,Female,Human Resources,HR Specialist,2,4,3,3,3,8910,20,1,4,4,5,22,Travel_Frequently,No,No,41.3
EMP_00028,Matthew Johnson,49,Female,Marketing,Content Creator,4,4,3,3,3,14031,21,2,9,5,19,16,Travel_Frequently,No,No,68.8
EMP_00029,Margaret Miller,50,Male,Legal,Compliance Officer,3,4,3,4,3,11582,16,1,9,5,13,7,Travel_Rarely,Yes,No,51.2
EMP_00030,Donna Ramirez,29,Male,Sales,Account Manager,2,4,4,3,3,7519,19,1,3,2,4,22,Travel_Rarely,No,No,56.7
EMP_00031,George Robinson,24,Male,IT,Security Analyst,1,4,2,3,2,6310,23,0,0,0,1,20,Travel_Rarely,Yes,Yes,27.2
EMP_00032,Charles Hill,33,Male,Legal,Compliance Officer,2,4,3,4,3,9707,22,0,4,3,8,26,Travel_Rarely,No,No,95.0
EMP_00033,Christopher Wilson,54,Male,Legal,Compliance Officer,5,4,3,4,3,16719,21,3,16,13,31,21,Non-Travel,No,No,61.8
EMP_00034,Amanda Anderson,41,Male,Human Resources,Training Coordinator,2,3,3,4,4,9145,18,1,7,2,10,4,Travel_Rarely,Yes,No,43.0
EMP_00035,Patricia Jackson,51,Male,Marketing,Content Creator,1,4,4,3,4,6232,22,0,3,3,4,17,Travel_Rarely,No,No,76.8
EMP_00036,Michelle Davis,40,Female,Sales,Business Development,2,4,3,3,3,8249,18,1,3,1,6,21,Travel_Frequently,No,No,40.0
EMP_00037,Nancy Garcia,40,Male,Marketing,Marketing Manager,3,4,2,2,2,10897,20,2,3,0,9,29,Travel_Rarely,Yes,Yes,41.8
EMP_00038,Paul Martin,44,Female,Operations,Quality Specialist,1,3,3,3,2,5422,19,0,0,0,2,10,Travel_Frequently,No,No,26.7
EMP_00039,Thomas Martinez,58,Male,Customer Service,Support Lead,2,4,3,3,3,9156,20,2,7,6,8,25,Travel_Rarely,No,No,38.1
EMP_00040,Mark Clark,38,Male,IT,IT Manager,2,4,3,3,3,7544,21,1,0,0,3,9,Non-Travel,No,No,65.5
EMP_00041,Melissa Moore,44,Female,Research & Development,R&D Manager,4,4,4,4,3,15263,21,3,9,6,22,11,Travel_Rarely,No,No,75.3
EMP_00042,William King,56,Male,Marketing,Marketing Manager,2,3,2,3,2,9660,19,0,14,0,14,28,Non-Travel,Yes,Yes,41.1
EMP_00043,Ashley Lewis,36,Female,Sales,Business Development,3,3,3,3,2,10703,17,2,10,1,13,5,Travel_Frequently,Yes,Yes,35.9
EMP_00044,Robert Gonzalez,53,Female,IT,System Administrator,3,4,3,3,3,11928,20,2,6,0,17,6,Travel_Rarely,Yes,No,56.6
EMP_00045,Joshua King,42,Female,Customer Service,Support Specialist,2,4,3,3,3,8499,22,1,5,3,10,25,Travel_Rarely,Yes,No,35.4
EMP_00046,Lisa Allen,55,Male,Sales,Account Manager,5,4,4,4,3,17461,18,2,10,9,31,27,Travel_Rarely,No,No,49.0
EMP_00047,Kevin Thomas,39,Female,Legal,Compliance Officer,2,4,3,3,3,10468,22,0,8,2,12,4,Travel_Rarely,No,No,53.7
EMP_00048,Brian Lopez,45,Male,Human Resources,HR Manager,1,3,3,2,2,5773,17,0,0,0,5,24,Travel_Rarely,No,No,81.0
EMP_00049,Barbara Ramirez,34,Male,IT,Network Engineer,2,4,4,4,3,7187,22,0,3,0,3,18,Non-Travel,No,No,68.2
EMP_00050,Ashley Garcia,46,Male,Engineering,Technical Lead,3,4,3,3,4,12151,20,1,16,14,16,26,Travel_Rarely,No,No,30.3
EMP_00051,Dorothy Davis,34,Female,Engineering,Software Engineer,1,4,3,3,3,6087,21,0,0,0,0,15,Non-Travel,No,No,67.8
EMP_00052,Kenneth Smith,45,Female,Customer Service,Support Specialist,1,4,3,3,3,6104,22,0,1,1,3,17,Travel_Rarely,No,No,55.1
EMP_00053,Michelle Young,51,Male,Human Resources,Training Coordinator,2,2,2,2,2,7261,13,0,0,0,2,7,Travel_Rarely,Yes,Yes,25.8
EMP_00054,Michelle Clark,38,Male,Sales,Sales Director,2,3,3,2,2,8620,19,2,7,4,12,17,Travel_Rarely,Yes,No,73.0
EMP_00055,Nancy Lewis,38,Female,Customer Service,Support Lead,1,4,3,4,4,6593,20,0,5,1,7,13,Travel_Rarely,No,No,80.6
EMP_00056,Susan Young,34,Female,Engineering,Mechanical Engineer,2,4,3,3,3,7780,21,1,0,0,0,12,Non-Travel,No,No,78.8
EMP_00057,Margaret Jackson,49,Male,Engineering,Technical Lead,4,4,3,3,4,15407,18,2,13,9,20,9,Travel_Rarely,No,No,46.9
EMP_00058,Betty Thompson,44,Male,Customer Service,Support Specialist,3,3,3,3,2,10368,18,1,0,0,15,12,Travel_Rarely,Yes,No,56.4
EMP_00059,Mary Garcia,41,Female,Customer Service,Customer Success Manager,3,4,4,4,4,11702,21,1,10,4,14,5,Travel_Rarely,No,No,68.0
EMP_00060,Richard Jones,22,Female,Research & Development,Lab Technician,1,3,2,2,1,5860,18,0,0,0,0,25,Non-Travel,Yes,Yes,55.6
EMP_00061,Lisa Clark,26,Female,Research & Development,Research Scientist,1,4,3,3,3,5679,21,0,0,0,0,12,Travel_Rarely,No,No,53.4
EMP_00062,Steven Jackson,22,Male,Research & Development,Lab Technician,1,4,2,3,3,5983,24,0,0,0,0,12,Travel_Rarely,No,No,58.7
EMP_00063,Kevin Thompson,54,Male,Finance,Controller,5,4,3,3,3,15796,19,3,1,0,28,29,Travel_Frequently,No,No,42.1
EMP_00064,Patricia Walker,54,Male,Operations,Operations Analyst,2,3,3,4,3,7762,16,0,2,0,5,15,Travel_Frequently,No,No,40.5
EMP_00065,Mark Sanchez,24,Male,Engineering,Engineering Manager,2,4,3,4,3,7227,22,0,1,0,1,21,Travel_Rarely,No,No,76.6
