employee_id,name,gender,age,department,job_role,job_level,performance_rating,job_satisfaction,job_involvement,environment_satisfaction,monthly_income,percent_salary_hike,stock_option_level,years_at_company,years_in_current_role,total_working_years,distance_from_home,business_travel,over_time
EMP_COMP_BAD_02948_00001,Charles Brown,Female,22,Support,Product Manager,4,2,2,3,4,6807,24,0,8,8,10,8,Travel_Rarely,No
EMP_COMP_BAD_02948_00002,Thomas Smith,Male,27,Human Resources,Business Analyst,1,4,4,3,1,14624,18,3,5,1,15,24,Non-Travel,Yes
EMP_COMP_BAD_02948_00003,Jessica Thompson,Female,26,Finance,Support Specialist,1,3,1,2,4,9743,16,1,0,0,0,19,Travel_Rarely,Yes
EMP_COMP_BAD_02948_00004,Mark Lewis,Male,50,IT,IT Administrator,5,1,4,1,2,3569,22,2,15,8,23,14,Travel_Frequently,Yes
EMP_COMP_BAD_02948_00005,Kevin Clark,Female,33,Legal,Research Scientist,2,4,3,3,4,16291,19,1,3,3,7,4,Travel_Frequently,Yes
EMP_COMP_BAD_02948_00006,Jennifer Lee,Male,52,Sales,Product Manager,5,2,3,4,3,10353,15,1,7,4,9,17,Non-Travel,No
EMP_COMP_BAD_02948_00007,Lisa Brown,Female,53,Engineering,Software Engineer,2,1,2,3,1,6093,16,0,12,4,20,17,Travel_Frequently,No
EMP_COMP_BAD_02948_00008,Barbara White,Male,35,Support,Legal Counsel,4,3,4,2,2,14618,23,2,9,3,12,3,Travel_Rarely,Yes
EMP_COMP_BAD_02948_00009,Charles Wilson,Male,57,Human Resources,Legal Counsel,1,3,1,4,2,7821,20,1,13,2,23,29,Travel_Frequently,Yes
EMP_COMP_BAD_02948_00010,Charles Hernandez,Male,22,Marketing,Business Analyst,2,4,2,4,1,11115,13,0,15,10,17,14,Travel_Rarely,Yes
EMP_COMP_BAD_02948_00011,Dorothy Johnson,Female,50,Research and Development,Support Specialist,5,2,1,2,3,7719,12,1,14,5,20,9,Travel_Frequently,No
