employee_id,name,gender,age,department,job_role,job_level,performance_rating,job_satisfaction,job_involvement,environment_satisfaction,monthly_income,percent_salary_hike,stock_option_level,years_at_company,years_in_current_role,total_working_years,distance_from_home,business_travel,over_time
EMP_COMP_GOOD_01329_00001,Lisa Gonzalez,Female,22,Support,Operations Manager,3,2,4,3,1,5262,22,3,11,10,12,25,Non-Travel,Yes
EMP_COMP_GOOD_01329_00002,Amanda White,Female,26,Engineering,Product Manager,5,4,1,2,4,9306,11,3,13,1,19,23,Travel_Frequently,No
EMP_COMP_GOOD_01329_00003,Barbara Lewis,Female,34,Research and Development,Business Analyst,4,4,4,2,4,14873,23,2,7,3,7,2,Non-Travel,Yes
EMP_COMP_GOOD_01329_00004,Michael Smith,Female,58,Operations,IT Administrator,2,2,1,2,2,3684,20,2,5,5,5,23,Travel_Frequently,Yes
EMP_COMP_GOOD_01329_00005,Mary Hernandez,Female,30,Support,Financial Analyst,2,2,2,2,4,5460,14,3,0,0,2,1,Travel_Frequently,Yes
EMP_COMP_GOOD_01329_00006,William Rodriguez,Male,29,IT,Software Engineer,3,4,4,2,1,4948,13,1,13,1,18,23,Travel_Frequently,No
EMP_COMP_GOOD_01329_00007,Matthew Brown,Male,58,Research and Development,Business Analyst,2,2,3,2,4,9306,25,1,3,1,9,18,Non-Travel,No
EMP_COMP_GOOD_01329_00008,Richard Thomas,Male,55,Legal,Operations Manager,2,3,2,2,3,5473,22,0,9,9,18,19,Travel_Rarely,Yes
EMP_COMP_GOOD_01329_00009,Steven Hernandez,Male,26,Operations,Research Scientist,4,3,4,1,2,5566,17,0,10,7,20,29,Non-Travel,No
EMP_COMP_GOOD_01329_00010,David Taylor,Female,27,Marketing,IT Administrator,5,3,3,3,2,4358,12,3,13,9,21,21,Travel_Rarely,Yes
EMP_COMP_GOOD_01329_00011,John Johnson,Female,41,IT,Research Scientist,4,3,2,4,2,9747,21,2,9,9,10,8,Travel_Rarely,No
EMP_COMP_GOOD_01329_00012,Sarah Gonzalez,Male,22,Legal,HR Manager,1,3,3,2,2,4997,14,2,12,1,14,2,Non-Travel,No
EMP_COMP_GOOD_01329_00013,Karen Miller,Male,43,Support,Accountant,1,3,2,2,2,8105,24,2,5,5,15,22,Travel_Frequently,Yes
EMP_COMP_GOOD_01329_00014,Jennifer Thomas,Female,26,IT,Financial Analyst,4,2,4,3,2,12394,16,2,11,10,19,21,Non-Travel,No
EMP_COMP_GOOD_01329_00015,Sarah Jones,Female,32,Support,Support Specialist,1,1,4,2,1,8389,20,0,2,2,7,11,Travel_Rarely,Yes
EMP_COMP_GOOD_01329_00016,Melissa Harris,Female,53,Sales,Product Manager,1,3,1,2,1,6477,23,0,9,5,17,29,Non-Travel,No
EMP_COMP_GOOD_01329_00017,Betty Robinson,Female,48,Marketing,Data Scientist,3,1,2,4,4,4579,19,2,6,6,10,24,Non-Travel,Yes
EMP_COMP_GOOD_01329_00018,Thomas Brown,Male,57,Legal,Support Specialist,3,1,3,3,3,14930,24,1,4,3,4,9,Non-Travel,Yes
EMP_COMP_GOOD_01329_00019,James Taylor,Female,58,Marketing,Financial Analyst,5,2,4,2,2,5747,18,0,0,0,10,13,Travel_Rarely,Yes
EMP_COMP_GOOD_01329_00020,Anthony Rodriguez,Female,48,Support,Business Analyst,1,4,4,2,4,7329,16,0,3,3,7,27,Travel_Frequently,No
EMP_COMP_GOOD_01329_00021,William Wilson,Male,55,Sales,Financial Analyst,2,3,3,1,3,16025,22,0,7,4,7,19,Non-Travel,Yes
EMP_COMP_GOOD_01329_00022,Linda Hernandez,Male,56,Support,Financial Analyst,4,1,2,3,2,7045,12,0,3,3,11,18,Travel_Frequently,No
EMP_COMP_GOOD_01329_00023,Sarah Lopez,Male,33,Research and Development,Software Engineer,2,4,2,4,4,11396,15,2,3,3,7,17,Travel_Frequently,No
EMP_COMP_GOOD_01329_00024,Jessica Davis,Female,39,Human Resources,Sales Representative,2,1,2,2,1,4769,16,2,14,4,20,27,Travel_Rarely,Yes
EMP_COMP_GOOD_01329_00025,Brian Brown,Female,38,Operations,Financial Analyst,5,1,3,1,3,8225,23,1,5,3,13,9,Non-Travel,Yes
EMP_COMP_GOOD_01329_00026,Paul Garcia,Male,37,Human Resources,Accountant,1,3,4,3,2,6826,17,2,8,1,15,25,Travel_Rarely,Yes
EMP_COMP_GOOD_01329_00027,Sarah Wilson,Female,58,Engineering,Software Engineer,1,3,2,1,2,15439,18,1,9,9,11,12,Non-Travel,No
EMP_COMP_GOOD_01329_00028,Paul Perez,Female,26,Finance,Financial Analyst,2,1,2,3,3,9709,14,2,11,1,16,28,Travel_Rarely,Yes
EMP_COMP_GOOD_01329_00029,Lisa Taylor,Female,28,IT,Operations Manager,1,2,4,1,3,7686,14,0,6,6,8,24,Non-Travel,Yes
EMP_COMP_GOOD_01329_00030,Betty Ramirez,Male,56,Marketing,Legal Counsel,1,4,2,3,2,5000,22,0,5,3,12,20,Travel_Rarely,No
EMP_COMP_GOOD_01329_00031,William Anderson,Female,57,Finance,Research Scientist,5,4,1,2,1,10754,18,3,9,3,10,21,Travel_Rarely,No
EMP_COMP_GOOD_01329_00032,George Lewis,Female,51,Marketing,Data Scientist,5,3,3,3,2,5827,18,2,13,9,18,10,Non-Travel,Yes
EMP_COMP_GOOD_01329_00033,Charles Anderson,Female,54,Engineering,Marketing Manager,2,4,2,3,4,13124,19,1,8,5,8,26,Travel_Frequently,No
EMP_COMP_GOOD_01329_00034,Jessica Anderson,Female,55,Operations,IT Administrator,2,4,2,1,3,6347,20,0,3,1,12,22,Travel_Frequently,No
EMP_COMP_GOOD_01329_00035,Jennifer Hernandez,Male,36,Engineering,Legal Counsel,5,3,3,3,3,12413,22,1,4,4,8,21,Non-Travel,Yes
EMP_COMP_GOOD_01329_00036,Steven Wilson,Male,48,Human Resources,HR Manager,2,2,4,2,4,4851,19,3,8,8,8,5,Travel_Frequently,No
EMP_COMP_GOOD_01329_00037,Paul Jones,Female,28,Marketing,Marketing Manager,3,4,3,1,3,14828,23,1,8,4,12,11,Non-Travel,No
EMP_COMP_GOOD_01329_00038,Kimberly Johnson,Female,36,Marketing,Operations Manager,1,3,4,1,1,6145,15,1,15,2,21,15,Non-Travel,No
EMP_COMP_GOOD_01329_00039,Steven Sanchez,Female,39,Finance,Business Analyst,1,3,3,3,1,7052,12,0,10,7,18,12,Travel_Frequently,Yes
EMP_COMP_GOOD_01329_00040,Michael Brown,Male,50,Legal,Sales Representative,5,4,2,1,2,6573,22,2,10,8,20,15,Travel_Frequently,No
EMP_COMP_GOOD_01329_00041,Susan Lewis,Male,40,Human Resources,Software Engineer,2,1,2,1,1,8567,16,3,11,6,16,22,Non-Travel,Yes
EMP_COMP_GOOD_01329_00042,Kenneth Wilson,Male,53,Research and Development,Data Scientist,2,4,3,1,1,5637,17,0,5,5,9,23,Travel_Rarely,Yes
EMP_COMP_GOOD_01329_00043,Anthony Miller,Male,35,Sales,Research Scientist,4,3,2,4,3,14601,18,2,5,5,9,14,Non-Travel,Yes
EMP_COMP_GOOD_01329_00044,Charles Smith,Female,35,Marketing,Legal Counsel,1,2,1,2,1,15085,22,2,7,2,7,9,Travel_Rarely,No
EMP_COMP_GOOD_01329_00045,Kevin Johnson,Female,26,Engineering,Software Engineer,3,2,2,3,1,7938,16,0,4,4,14,8,Non-Travel,Yes
EMP_COMP_GOOD_01329_00046,Karen White,Female,35,Human Resources,Data Scientist,3,1,3,3,1,9722,18,3,3,3,6,27,Non-Travel,Yes
EMP_COMP_GOOD_01329_00047,Michael Martin,Male,33,Engineering,Business Analyst,5,1,1,2,1,5119,18,0,9,8,19,24,Travel_Frequently,Yes
EMP_COMP_GOOD_01329_00048,Mary Taylor,Male,39,Finance,Software Engineer,1,1,1,4,1,3776,14,0,5,5,9,21,Non-Travel,Yes
EMP_COMP_GOOD_01329_00049,Margaret Taylor,Female,56,Research and Development,Research Scientist,3,4,1,2,1,7895,22,0,8,3,11,19,Travel_Rarely,Yes
EMP_COMP_GOOD_01329_00050,Andrew White,Female,58,Human Resources,Support Specialist,2,2,1,4,1,8948,22,3,10,6,19,3,Travel_Frequently,No
EMP_COMP_GOOD_01329_00051,Joshua White,Male,35,Support,Operations Manager,4,4,3,3,3,4448,19,1,10,8,20,19,Non-Travel,No
EMP_COMP_GOOD_01329_00052,Jennifer Harris,Male,52,Support,Data Scientist,3,3,3,4,1,9932,20,1,4,0,14,21,Travel_Frequently,Yes
EMP_COMP_GOOD_01329_00053,Donna Lee,Female,40,Human Resources,Software Engineer,2,4,1,2,1,11413,13,1,8,4,8,25,Travel_Rarely,Yes
EMP_COMP_GOOD_01329_00054,Margaret Taylor,Female,29,Human Resources,Operations Manager,4,2,3,3,4,14858,24,0,9,4,9,24,Travel_Frequently,Yes
EMP_COMP_GOOD_01329_00055,Charles Harris,Female,34,Operations,Support Specialist,3,1,3,3,1,11759,20,2,13,10,18,13,Travel_Rarely,No
EMP_COMP_GOOD_01329_00056,Joseph Lopez,Male,41,Finance,Financial Analyst,2,2,1,1,2,5244,23,1,14,8,18,20,Travel_Frequently,Yes
EMP_COMP_GOOD_01329_00057,Donna Rodriguez,Male,37,Sales,Operations Manager,2,4,1,2,3,6098,12,2,6,5,6,8,Travel_Rarely,Yes
EMP_COMP_GOOD_01329_00058,Margaret Perez,Male,24,Research and Development,Research Scientist,4,1,2,4,2,4661,12,1,7,0,7,1,Non-Travel,No
EMP_COMP_GOOD_01329_00059,Matthew Jackson,Male,36,Finance,IT Administrator,4,3,1,1,4,5596,12,1,13,7,17,3,Non-Travel,Yes
EMP_COMP_GOOD_01329_00060,Emily Jackson,Female,49,IT,Marketing Manager,4,4,2,4,2,7320,15,2,1,1,2,2,Travel_Rarely,No
EMP_COMP_GOOD_01329_00061,Kevin Brown,Female,34,Engineering,Software Engineer,4,2,4,1,4,12844,14,2,4,4,12,15,Non-Travel,Yes
EMP_COMP_GOOD_01329_00062,Charles Lee,Male,25,Human Resources,Software Engineer,3,4,4,4,1,4026,23,3,3,3,10,23,Travel_Rarely,Yes
EMP_COMP_GOOD_01329_00063,Andrew Sanchez,Female,24,Sales,HR Manager,3,3,2,4,4,11785,20,3,7,7,17,17,Travel_Rarely,No
EMP_COMP_GOOD_01329_00064,Mary Thomas,Male,44,Research and Development,Support Specialist,5,1,2,3,1,16275,17,0,3,3,3,23,Travel_Frequently,Yes
EMP_COMP_GOOD_01329_00065,Brian Perez,Female,29,Finance,Software Engineer,5,4,3,3,4,8087,11,1,7,7,13,24,Travel_Rarely,Yes
EMP_COMP_GOOD_01329_00066,Sarah Walker,Male,35,Engineering,Support Specialist,2,2,4,4,3,14902,16,1,7,2,9,24,Travel_Frequently,Yes
EMP_COMP_GOOD_01329_00067,Joseph Davis,Female,57,Sales,Support Specialist,3,3,4,3,3,13016,13,2,5,2,13,24,Travel_Frequently,No
EMP_COMP_GOOD_01329_00068,Patricia Lopez,Female,49,Human Resources,IT Administrator,5,3,1,4,4,7561,12,2,9,2,11,27,Non-Travel,Yes
EMP_COMP_GOOD_01329_00069,Margaret Lewis,Male,42,IT,Support Specialist,4,4,4,3,1,8143,17,2,1,1,7,21,Travel_Frequently,Yes
EMP_COMP_GOOD_01329_00070,Paul Perez,Male,33,Marketing,Business Analyst,5,4,3,1,4,12571,20,3,1,1,7,2,Travel_Rarely,No
EMP_COMP_GOOD_01329_00071,Daniel Gonzalez,Female,58,Operations,Marketing Manager,1,2,3,4,3,14749,23,3,7,1,8,18,Travel_Rarely,Yes
EMP_COMP_GOOD_01329_00072,William Martinez,Female,23,Legal,IT Administrator,5,4,1,1,2,8181,23,2,13,6,14,7,Travel_Frequently,No
EMP_COMP_GOOD_01329_00073,Linda Walker,Female,56,Marketing,Support Specialist,4,3,4,3,1,4997,11,3,2,2,6,16,Travel_Rarely,No
EMP_COMP_GOOD_01329_00074,Thomas Sanchez,Female,33,IT,Business Analyst,5,4,2,1,3,6232,16,2,15,3,17,24,Non-Travel,No
EMP_COMP_GOOD_01329_00075,George Clark,Male,49,Finance,Legal Counsel,3,2,3,4,1,4121,12,2,12,5,22,24,Non-Travel,No
EMP_COMP_GOOD_01329_00076,Steven Sanchez,Female,29,Operations,Sales Representative,3,3,1,2,3,13207,15,1,13,8,22,7,Non-Travel,Yes
EMP_COMP_GOOD_01329_00077,Donna Perez,Male,23,Finance,Support Specialist,5,4,1,4,3,8696,15,0,10,1,11,20,Travel_Rarely,Yes
EMP_COMP_GOOD_01329_00078,Lisa Rodriguez,Male,47,Sales,Research Scientist,4,1,3,4,2,8689,18,3,14,6,19,11,Travel_Frequently,Yes
EMP_COMP_GOOD_01329_00079,Michael Jones,Male,34,Research and Development,Operations Manager,2,4,3,2,1,6739,15,0,12,10,16,3,Travel_Frequently,Yes
EMP_COMP_GOOD_01329_00080,Amanda Johnson,Female,51,Legal,Accountant,1,2,1,1,2,4517,20,1,6,6,6,7,Non-Travel,Yes
EMP_COMP_GOOD_01329_00081,Melissa Harris,Male,29,Human Resources,Operations Manager,3,1,3,1,1,15670,22,2,6,3,9,5,Travel_Frequently,Yes
EMP_COMP_GOOD_01329_00082,Andrew Miller,Male,34,Research and Development,Support Specialist,3,2,4,2,1,4536,22,0,7,0,10,8,Non-Travel,No
EMP_COMP_GOOD_01329_00083,Patricia Williams,Female,37,Human Resources,Data Scientist,1,2,1,4,4,12411,15,0,11,9,14,17,Travel_Rarely,Yes
EMP_COMP_GOOD_01329_00084,Patricia Harris,Female,51,Operations,Support Specialist,3,3,4,2,2,13003,25,1,4,4,8,13,Travel_Rarely,No
EMP_COMP_GOOD_01329_00085,Amanda Williams,Female,43,Engineering,Data Scientist,1,3,1,1,4,10241,12,2,5,1,10,5,Travel_Rarely,No
EMP_COMP_GOOD_01329_00086,Amanda Gonzalez,Male,55,Operations,Operations Manager,5,2,4,1,1,8557,19,0,6,4,11,25,Non-Travel,Yes
EMP_COMP_GOOD_01329_00087,Donald Martinez,Female,58,Sales,Business Analyst,2,2,3,4,2,3857,13,1,5,4,13,19,Non-Travel,Yes
EMP_COMP_GOOD_01329_00088,Richard Moore,Male,55,Support,Research Scientist,4,1,1,2,2,4035,23,0,6,2,16,14,Travel_Frequently,Yes
EMP_COMP_GOOD_01329_00089,Patricia Miller,Male,34,Legal,Sales Representative,5,2,1,4,2,5189,16,0,14,3,16,13,Travel_Rarely,No
EMP_COMP_GOOD_01329_00090,Michael Robinson,Male,57,Human Resources,Support Specialist,1,4,1,4,3,6644,17,2,6,4,14,13,Non-Travel,No
EMP_COMP_GOOD_01329_00091,Matthew Gonzalez,Female,49,Engineering,Product Manager,2,4,3,3,1,7210,25,2,10,3,11,5,Travel_Rarely,No
EMP_COMP_GOOD_01329_00092,Jessica Jackson,Male,48,Engineering,Software Engineer,3,3,3,3,3,5408,25,0,3,3,8,18,Travel_Rarely,No
EMP_COMP_GOOD_01329_00093,Donald Garcia,Male,48,Operations,Marketing Manager,5,1,2,1,4,9085,12,2,14,0,22,12,Travel_Rarely,Yes
EMP_COMP_GOOD_01329_00094,Karen Lewis,Male,42,Legal,Marketing Manager,3,2,3,1,3,6940,20,3,14,1,14,15,Non-Travel,Yes
EMP_COMP_GOOD_01329_00095,Richard Sanchez,Male,37,Legal,Operations Manager,5,4,2,1,2,12747,12,2,8,3,18,19,Travel_Frequently,No
EMP_COMP_GOOD_01329_00096,Jessica Wilson,Male,27,Engineering,Product Manager,4,1,4,1,3,4648,12,1,8,0,14,27,Travel_Frequently,Yes
EMP_COMP_GOOD_01329_00097,Amanda Walker,Female,39,Research and Development,Accountant,3,4,4,2,2,11920,17,0,7,3,10,15,Non-Travel,No
EMP_COMP_GOOD_01329_00098,Steven Williams,Male,27,IT,Operations Manager,1,4,2,1,1,8933,16,3,1,0,8,24,Travel_Frequently,No
EMP_COMP_GOOD_01329_00099,Paul Thompson,Female,29,IT,Research Scientist,3,3,1,2,3,9874,22,0,5,2,7,24,Non-Travel,Yes
EMP_COMP_GOOD_01329_00100,Robert Brown,Female,27,Engineering,Accountant,3,3,1,2,4,8866,18,1,0,0,2,17,Travel_Frequently,Yes
EMP_COMP_GOOD_01329_00101,Paul Moore,Female,23,Engineering,Marketing Manager,2,4,2,1,2,9739,19,0,10,3,11,24,Travel_Rarely,Yes
EMP_COMP_GOOD_01329_00102,Charles Harris,Female,52,Finance,HR Manager,5,1,4,4,1,5218,19,0,1,1,1,9,Travel_Frequently,Yes
EMP_COMP_GOOD_01329_00103,John Clark,Female,45,Engineering,Marketing Manager,1,3,1,3,4,11063,20,3,12,1,17,6,Travel_Rarely,Yes
EMP_COMP_GOOD_01329_00104,Kimberly Hernandez,Male,48,Support,Marketing Manager,3,3,1,2,2,12890,16,1,11,7,12,11,Travel_Frequently,No
EMP_COMP_GOOD_01329_00105,Kenneth Garcia,Female,30,Human Resources,Support Specialist,3,4,2,1,3,5286,18,0,7,5,9,6,Travel_Frequently,No
EMP_COMP_GOOD_01329_00106,Mark Wilson,Male,38,Sales,Software Engineer,2,2,1,1,1,10198,22,0,10,0,12,2,Travel_Frequently,Yes
EMP_COMP_GOOD_01329_00107,John Thompson,Female,42,Research and Development,IT Administrator,3,1,4,2,1,9727,24,0,2,2,8,17,Travel_Frequently,Yes
EMP_COMP_GOOD_01329_00108,Donald Martinez,Male,30,Support,HR Manager,4,1,4,3,4,11229,17,1,15,2,24,13,Travel_Rarely,No
EMP_COMP_GOOD_01329_00109,Susan Taylor,Female,26,IT,Data Scientist,5,4,3,2,3,8152,14,1,5,3,8,28,Non-Travel,No
EMP_COMP_GOOD_01329_00110,Dorothy Jackson,Male,54,Human Resources,IT Administrator,3,1,2,4,1,4296,20,0,15,8,18,19,Travel_Frequently,Yes
EMP_COMP_GOOD_01329_00111,Jessica Martinez,Female,31,Research and Development,Software Engineer,1,2,3,2,2,13397,14,2,3,3,6,11,Travel_Rarely,Yes
EMP_COMP_GOOD_01329_00112,Patricia Harris,Female,26,Legal,IT Administrator,1,4,1,4,4,8979,15,1,8,8,15,11,Travel_Rarely,Yes
EMP_COMP_GOOD_01329_00113,Robert Rodriguez,Male,24,Engineering,Software Engineer,3,4,4,3,1,5465,15,1,7,5,11,13,Travel_Frequently,No
EMP_COMP_GOOD_01329_00114,Donna Martin,Female,25,Operations,Financial Analyst,5,3,2,1,3,5581,24,1,1,0,7,4,Travel_Rarely,No
EMP_COMP_GOOD_01329_00115,Karen Martin,Male,32,Legal,HR Manager,5,2,1,4,4,11098,15,0,5,1,5,23,Travel_Rarely,Yes
EMP_COMP_GOOD_01329_00116,Mary Martin,Male,46,Operations,HR Manager,2,2,2,2,3,4547,24,3,13,5,22,13,Travel_Frequently,Yes
EMP_COMP_GOOD_01329_00117,Betty Clark,Male,45,Engineering,Software Engineer,5,4,1,4,1,6422,12,0,0,0,2,20,Non-Travel,Yes
EMP_COMP_GOOD_01329_00118,Jennifer Williams,Male,32,IT,Software Engineer,3,1,4,4,1,10821,23,2,1,1,10,17,Travel_Rarely,No
EMP_COMP_GOOD_01329_00119,Sarah Gonzalez,Female,32,Sales,Support Specialist,1,1,4,1,4,16085,24,0,9,8,17,28,Travel_Rarely,No
EMP_COMP_GOOD_01329_00120,Dorothy White,Female,43,Support,Software Engineer,5,2,2,2,2,7987,19,0,3,1,12,1,Travel_Frequently,No
EMP_COMP_GOOD_01329_00121,George Anderson,Female,46,Sales,HR Manager,2,3,4,1,3,5256,16,2,6,6,15,18,Travel_Rarely,No
EMP_COMP_GOOD_01329_00122,Brian Davis,Male,52,Engineering,IT Administrator,3,2,4,2,3,10205,23,1,15,4,24,9,Non-Travel,No
EMP_COMP_GOOD_01329_00123,Betty Harris,Female,48,Human Resources,Legal Counsel,1,4,4,4,1,12038,24,0,5,1,12,25,Travel_Frequently,No
EMP_COMP_GOOD_01329_00124,Nancy Perez,Male,56,Legal,Marketing Manager,2,2,3,4,4,13096,17,2,7,2,8,22,Travel_Frequently,No
EMP_COMP_GOOD_01329_00125,Carol Martinez,Female,46,Finance,Business Analyst,1,2,1,3,2,7896,22,1,3,3,11,28,Travel_Frequently,No
EMP_COMP_GOOD_01329_00126,John Taylor,Female,47,IT,Marketing Manager,4,4,1,3,4,6703,23,0,14,2,23,12,Non-Travel,Yes
EMP_COMP_GOOD_01329_00127,Sarah Taylor,Female,32,Legal,Business Analyst,4,2,2,4,1,12856,18,1,4,4,11,25,Travel_Frequently,No
EMP_COMP_GOOD_01329_00128,Paul Lopez,Male,27,IT,Operations Manager,5,4,4,2,1,6509,14,2,8,8,11,13,Travel_Frequently,No
EMP_COMP_GOOD_01329_00129,Kevin Sanchez,Female,57,Operations,Accountant,3,1,2,1,3,8097,13,2,13,3,22,10,Non-Travel,No
EMP_COMP_GOOD_01329_00130,Michelle Rodriguez,Female,26,Human Resources,Accountant,5,4,4,4,2,6942,13,1,8,7,17,18,Non-Travel,Yes
EMP_COMP_GOOD_01329_00131,James Harris,Female,36,Legal,HR Manager,3,4,4,1,4,11325,14,2,0,0,6,19,Travel_Frequently,No
EMP_COMP_GOOD_01329_00132,Jessica Miller,Male,32,Sales,Legal Counsel,4,3,2,3,4,5917,12,3,11,6,18,15,Travel_Frequently,Yes
EMP_COMP_GOOD_01329_00133,Paul Martin,Male,51,Finance,Business Analyst,3,4,1,1,1,3856,22,1,15,9,16,7,Non-Travel,No
EMP_COMP_GOOD_01329_00134,Kimberly Hernandez,Female,43,Sales,Research Scientist,3,2,4,2,4,6684,23,0,2,2,6,8,Non-Travel,No
EMP_COMP_GOOD_01329_00135,Betty Ramirez,Female,49,IT,Legal Counsel,5,3,1,1,4,5587,12,0,14,7,19,25,Travel_Frequently,No
EMP_COMP_GOOD_01329_00136,Mark Perez,Male,39,Engineering,Accountant,5,4,1,1,2,4548,19,0,13,0,22,16,Non-Travel,Yes
EMP_COMP_GOOD_01329_00137,Charles Garcia,Male,46,IT,IT Administrator,2,3,3,4,2,8390,23,2,9,7,14,23,Non-Travel,No
EMP_COMP_GOOD_01329_00138,Andrew Williams,Female,34,Operations,Data Scientist,3,3,3,1,4,9186,19,2,15,1,23,17,Non-Travel,Yes
EMP_COMP_GOOD_01329_00139,George Lopez,Male,55,Operations,Marketing Manager,4,3,3,1,4,5964,21,2,7,7,15,1,Travel_Rarely,Yes
EMP_COMP_GOOD_01329_00140,Daniel Gonzalez,Male,58,Research and Development,Accountant,2,3,1,4,3,5917,24,1,12,9,12,17,Travel_Rarely,Yes
EMP_COMP_GOOD_01329_00141,Susan Sanchez,Female,54,Legal,Accountant,4,2,3,1,2,6347,24,1,15,6,24,9,Travel_Frequently,Yes
EMP_COMP_GOOD_01329_00142,Joshua Harris,Female,40,Human Resources,Operations Manager,5,4,2,1,2,3730,22,3,6,3,7,13,Travel_Rarely,Yes
EMP_COMP_GOOD_01329_00143,Mark Johnson,Female,31,Human Resources,IT Administrator,5,4,2,4,2,6086,16,2,8,6,15,1,Non-Travel,Yes
EMP_COMP_GOOD_01329_00144,Matthew Lopez,Female,52,IT,Financial Analyst,3,1,1,2,4,11083,19,0,1,1,5,20,Travel_Frequently,No
EMP_COMP_GOOD_01329_00145,Robert Anderson,Female,42,Human Resources,HR Manager,3,4,2,4,3,8404,22,1,15,9,20,2,Non-Travel,Yes
EMP_COMP_GOOD_01329_00146,George Miller,Female,50,Support,Legal Counsel,5,2,3,1,4,9594,22,0,2,2,12,8,Non-Travel,Yes
EMP_COMP_GOOD_01329_00147,Ashley Walker,Male,33,Sales,HR Manager,1,3,3,1,4,7152,18,1,9,0,11,9,Travel_Rarely,Yes
EMP_COMP_GOOD_01329_00148,Andrew Jackson,Female,35,Legal,Support Specialist,4,2,4,4,3,6064,22,2,6,6,10,25,Travel_Frequently,No
EMP_COMP_GOOD_01329_00149,Patricia Moore,Female,56,Human Resources,HR Manager,4,4,2,2,3,8640,23,0,4,4,6,25,Travel_Frequently,Yes
EMP_COMP_GOOD_01329_00150,Dorothy Smith,Female,51,Human Resources,Sales Representative,2,3,3,3,3,4533,20,0,15,9,18,18,Travel_Frequently,No
EMP_COMP_GOOD_01329_00151,Donna Robinson,Male,37,IT,Sales Representative,1,3,1,1,1,8319,19,3,6,6,8,29,Non-Travel,No
