employee_id,name,gender,department,job_role,age,job_level,performance_rating,job_satisfaction,job_involvement,environment_satisfaction,monthly_income,percent_salary_hike,stock_option_level,years_at_company,years_in_current_role,total_working_years,distance_from_home,business_travel,over_time,attrition
EMP_01161,Donna Rodriguez,Female,Human Resources,HR Manager,42,3,4,3,2,3,9237,13,1,10,6,15,15,Travel_Rarely,Yes,No
EMP_01362,Melissa Young,Female,Research & Development,Research Scientist,44,4,3,4,3,1,5584,17,0,7,3,8,7,Travel_Rarely,Yes,Yes
EMP_00960,Joshua Hill,Male,Finance,Finance Manager,42,2,3,3,4,3,14665,23,2,12,5,19,10,Non-Travel,No,No
EMP_01136,Stephanie Williams,Male,Sales,Sales Manager,40,2,4,1,2,2,4334,14,0,10,6,12,24,Travel_Rarely,No,No
EMP_00337,Michael Nguyen,Male,Administration,Receptionist,41,3,3,3,3,3,13546,17,0,13,6,15,10,Travel_Rarely,No,No
EMP_01039,Donna Young,Male,Research & Development,Research Scientist,29,3,2,3,4,1,10803,17,2,10,0,10,15,Travel_Rarely,No,No
EMP_00358,Edward Davis,Female,Engineering,Senior Engineer,52,3,3,3,3,4,7780,19,2,11,4,26,15,Non-Travel,No,No
EMP_00152,Karen Clark,Female,Engineering,Technical Lead,39,4,3,3,2,3,11307,24,0,11,4,11,11,Travel_Rarely,No,No
EMP_01707,Laura Lee,Female,IT,System Administrator,22,1,2,1,2,1,5718,11,0,1,0,1,10,Travel_Rarely,Yes,Yes
EMP_00488,Christopher Jones,Female,Product,Product Owner,39,3,4,4,3,3,12607,16,2,13,1,14,7,Non-Travel,No,No
EMP_00810,Jessica Nelson,Female,Marketing,Brand Strategist,48,4,4,3,3,4,13033,12,1,4,4,26,17,Travel_Rarely,No,No
EMP_00937,Charles Rivera,Female,Supply Chain,Procurement Specialist,33,2,3,2,3,3,9554,24,3,4,2,6,10,Travel_Rarely,Yes,No
EMP_01455,Kenneth Clark,Male,Legal,Contract Specialist,28,1,3,3,3,4,10733,15,0,2,2,6,13,Non-Travel,Yes,Yes
EMP_01922,Sarah Brown,Female,Supply Chain,Logistics Manager,31,2,3,1,2,1,5784,10,0,4,0,5,13,Non-Travel,Yes,Yes
EMP_01906,Betty Wilson,Female,Quality Assurance,QA Engineer,27,2,3,2,1,1,3327,14,0,3,3,4,17,Travel_Rarely,Yes,Yes
EMP_00383,Donna Lopez,Male,Engineering,Engineering Manager,54,4,3,3,3,3,8569,16,3,16,8,33,17,Travel_Rarely,Yes,No
EMP_01477,Carol Miller,Female,Product,Product Owner,29,2,4,1,4,2,7756,17,2,2,0,3,3,Non-Travel,No,No
EMP_00447,Robert Thompson,Male,IT,Security Analyst,51,5,3,2,2,3,11738,18,1,5,5,20,8,Non-Travel,No,No
EMP_01418,Patricia King,Male,Legal,Legal Counsel,31,2,3,3,2,3,4560,20,2,6,0,8,16,Non-Travel,Yes,No
EMP_01331,Matthew Wright,Male,Administration,Administrative Coordinator,36,4,2,4,1,3,7030,20,1,4,2,6,8,Travel_Frequently,Yes,No
EMP_01438,Richard Davis,Male,Finance,Accountant,34,3,3,3,1,2,4315,19,1,2,2,5,1,Travel_Rarely,No,Yes
EMP_00828,Thomas Gonzalez,Male,Quality Assurance,Quality Manager,37,4,4,3,4,4,7390,19,1,15,9,17,13,Travel_Rarely,No,No
EMP_01862,Kenneth Walker,Female,Human Resources,Compensation Analyst,32,3,3,1,1,1,4164,13,0,0,0,10,14,Travel_Frequently,Yes,Yes
EMP_01005,Lisa Lopez,Female,Customer Service,Service Representative,33,3,2,2,2,1,5046,19,0,7,0,7,5,Travel_Rarely,No,Yes
